Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Amsterdam,52.3727598,4.8936041,Organic,52.355161414874765,4.871265076215085,Organic Grocery
Amsterdam,52.3727598,4.8936041,Organic Food For You,52.36955258838164,4.874671890445277,Organic Grocery
Amsterdam,52.3727598,4.8936041,Organic farmers market Haarlemmerplein,52.38466966437466,4.883620658429307,Miscellaneous Shop
Amsterdam,52.3727598,4.8936041,Organic Cafe,52.340774,4.886052,Café
Amsterdam,52.3727598,4.8936041,Tradin Organic HQ,52.3797813754516,4.8961728123048225,Office
Amsterdam,52.3727598,4.8936041,Delicious Food Organic,52.378891,4.885562,Organic Grocery
Amsterdam,52.3727598,4.8936041,Asian Supermarket,52.36241161823273,4.864116311073303,Grocery Store
Amsterdam,52.3727598,4.8936041,little india indian grocery store,52.357062,4.827664,Grocery Store
Amsterdam,52.3727598,4.8936041,Bierderij Waterland Organic Brewery & Tasting Room,52.45837864019553,5.0398653745651245,Brewery
Amsterdam,52.3727598,4.8936041,Organic,52.355161414874765,4.871265076215085,Organic Grocery
Amsterdam,52.3727598,4.8936041,Tradin Organic HQ,52.3797813754516,4.8961728123048225,Office
Amsterdam,52.3727598,4.8936041,Delicious Food Organic,52.378891,4.885562,Organic Grocery
Amsterdam,52.3727598,4.8936041,Organic Food For You,52.36955258838164,4.874671890445277,Organic Grocery
Amsterdam,52.3727598,4.8936041,Organic farmers market Haarlemmerplein,52.38466966437466,4.883620658429307,Miscellaneous Shop
Amsterdam,52.3727598,4.8936041,Organic Cafe,52.340774,4.886052,Café
Amsterdam,52.3727598,4.8936041,Bierderij Waterland Organic Brewery & Tasting Room,52.45837864019553,5.0398653745651245,Brewery
Amsterdam,52.3727598,4.8936041,Marqt,52.36341485223924,4.877842189319171,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.381223158791045,4.889706048830318,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt HQ,52.38914625293033,4.890586815318044,Office
Amsterdam,52.3727598,4.8936041,Marqt,52.36881169925198,4.870703297873599,Grocery Store
Amsterdam,52.3727598,4.8936041,Marqt,52.34624208973875,4.866164724926763,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.3546691617587,4.901303342310851,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.356835021876066,4.927097260951996,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.351063,4.851869,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.37358,4.938185,Organic Grocery
Amsterdam,52.3727598,4.8936041,Marqt,52.347695,4.877306,Health Food Store
Amsterdam,52.3727598,4.8936041,Marqt DC,52.380654833293754,4.865344041600228,Distribution Center
Amsterdam,52.3727598,4.8936041,Marqt,52.33154725807202,4.878552944037967,Market
Amsterdam,52.3727598,4.8936041,Marqt Keuken,52.38317013793722,4.865534644772448,Food Court
Amsterdam,52.3727598,4.8936041,Jumbo City,52.37036857552296,4.885126888841693,Organic Grocery
Amsterdam,52.3727598,4.8936041,Distributiecentrum Marqt,52.397644,4.8388805,Distribution Center
